Iteration,Adder,Approximate_Adder_Num,Criticality_ID,Slack,Total_Power,Combinational_Power
5,ZHU,321,2,0.000498,98.1465,93.3736
5,ZHU,241,2,0.000498,98.2449,93.7722
5,ZHU,1,5,0.000498,98.3450,94.1764
5,ZHU,361,5,0.000498,98.1097,93.2212
5,8A,441,1,0.000048,100.0000,100.0000
5,ZHU,161,1,0.000498,98.2849,93.9472
5,6B,1,5,0.000021,98.1438,93.4789
5,ZHU,81,4,0.000498,98.3219,94.0950
5,ZHU,281,3,0.000498,98.1936,93.5396
5,ZHU4,281,1,0.000559,98.1777,93.5125
5,6B,41,5,0.000021,98.2869,93.9832
5,ZHU,201,5,0.000498,98.2683,93.8889
5,6B,41,3,0.000021,98.2766,93.9467
5,4B,121,4,0.000204,98.2260,93.7512
5,4B,1,2,0.000204,97.5281,91.3049
5,4B,321,1,0.000204,99.1249,96.9177
5,6B,281,4,0.000021,98.9558,96.3220
5,ZHU,201,2,0.000498,98.2678,93.8815
5,6B,81,4,0.000021,98.4039,94.3893
5,ZHU,241,1,0.000498,98.2364,93.7307
5,8A,161,2,0.000048,98.7101,95.4566
5,ZHU4,321,1,0.000559,98.1414,93.3731
5,ZHU,41,4,0.000498,98.3340,94.1375
5,ETAIIM,81,2,0.000020,97.5118,91.2415
5,ZHU,321,6,0.000498,98.1522,93.3880
5,6B,161,2,0.000021,98.6549,95.2678
5,ZHU,441,6,0.000498,98.0352,92.9070
5,4B,41,1,0.000204,97.8341,92.3709
5,6B,361,4,0.000021,99.1369,96.9598
5,ZHU,361,1,0.000498,98.1089,93.2243
5,ZHU,441,2,0.000498,98.0352,92.9070
5,ZHU,401,4,0.000498,98.0696,93.0454
5,ZHU4,1,1,0.000559,98.2671,93.9133
5,ZHU,441,3,0.000498,98.0352,92.9070
5,8A,121,2,0.000048,98.5119,94.7585
5,ZHU,441,5,0.000498,98.0352,92.9070
5,ZHU,81,6,0.000498,98.3208,94.0911
5,ZHU,1,1,0.000498,98.3451,94.1767
5,4B,81,4,0.000204,98.0476,93.1229
5,4B,441,6,0.000204,99.6999,98.9429
5,8A,81,4,0.000048,98.3370,94.1425
5,ZHU,81,5,0.000498,98.3205,94.0900
5,ZHU,121,6,0.000498,98.3057,94.0378
5,ZHU,121,5,0.000498,98.3015,94.0231
5,8A,321,1,0.000048,99.5251,98.3271
5,ZHU,281,6,0.000498,98.1967,93.5505
5,ZHU,281,5,0.000498,98.1881,93.5202
5,ZHU,401,1,0.000498,98.0713,93.0572
5,ZHU,201,6,0.000498,98.2702,93.8842
5,ETAIIM,441,2,0.000020,97.7911,92.2254
5,4B,41,3,0.000204,97.8136,92.2988
5,ZHU4,1,2,0.000559,98.2677,93.9156
5,ZHU4,41,2,0.000559,98.2646,93.9045
5,6B,41,2,0.000021,98.2830,93.9693
5,ZHU,241,3,0.000498,98.2398,93.7428
5,ZHU,401,3,0.000498,98.0691,93.0551
5,8A,41,6,0.000048,98.1460,93.4696
5,4B,41,5,0.000204,97.8364,92.3791
5,ZHU,201,1,0.000498,98.2671,93.8788
5,ZHU4,401,1,0.000559,98.0884,93.1289
5,ZHU,281,4,0.000498,98.1907,93.5353
5,ZHU,81,2,0.000498,98.3219,94.0948
5,ZHU4,41,4,0.000559,98.2635,93.9008
5,ZHU4,41,5,0.000559,98.2629,93.8985
5,ZHU,161,4,0.000498,98.2851,93.9595
5,ZHU,81,1,0.000498,98.3206,94.0905
5,8A,41,2,0.000048,98.1573,93.5095
5,6B,41,6,0.000021,98.2741,93.9382
5,8A,281,5,0.000048,99.3704,97.7822
5,4B,41,2,0.000204,97.8244,92.3369
5,ZHU4,241,4,0.000559,98.2058,93.6515
5,ETAIIM,241,1,0.000020,97.7399,92.0451
5,ZHU,1,4,0.000498,98.3458,94.1789
5,4B,241,2,0.000204,98.7555,95.6163
5,ZHU,161,3,0.000498,98.2902,93.9662
5,ZHU,41,3,0.000498,98.3354,94.1425
5,ZHU4,121,4,0.000559,98.2514,93.8525
5,ETAIIM,441,6,0.000020,97.7911,92.2254
5,ZHU,361,4,0.000498,98.1077,93.2258
5,ZHU,121,3,0.000498,98.3076,94.0387
5,6B,41,1,0.000021,98.2873,93.9845
5,ETAIIM,41,1,0.000020,97.4637,91.0720
5,ZHU,281,1,0.000498,98.1873,93.5175
5,ZHU,401,5,0.000498,98.0683,93.0465
5,6B,441,1,0.000021,99.3458,97.6956
5,ZHU,41,6,0.000498,98.3347,94.1400
5,ETAIIM,441,5,0.000020,97.7911,92.2254
5,ZHU,321,3,0.000498,98.1465,93.3624
5,ETAIIM,1,1,0.000020,97.4107,90.8854
5,8A,41,3,0.000048,98.1551,93.5075
5,ZHU,1,3,0.000498,98.3458,94.1789
5,ZHU4,441,6,0.000559,98.0626,92.9921
5,6B,121,4,0.000021,98.5179,94.7909
5,6B,321,4,0.000021,99.0414,96.6234
5,ZHU,41,5,0.000498,98.3321,94.1307
5,ETAIIM,281,4,0.000020,97.7592,92.1072
5,ZHU,361,2,0.000498,98.1065,93.2215
5,ZHU,401,6,0.000498,98.0743,93.0620
5,6B,201,2,0.000021,98.7750,95.6850
5,ZHU,321,1,0.000498,98.1452,93.3693
5,ZHU,121,1,0.000498,98.3028,94.0276
5,ZHU4,161,2,0.000559,98.2445,93.8282
5,ZHU4,41,3,0.000559,98.2640,93.9025
5,6B,241,4,0.000021,98.8742,96.0347
5,ZHU,121,2,0.000498,98.3082,94.0465
5,ZHU4,361,1,0.000559,98.1148,93.2564
5,ETAIIM,441,3,0.000020,97.7911,92.2254
5,ZHU,361,6,0.000498,98.1109,93.2254
5,6B,401,4,0.000021,99.2378,97.3151
5,8A,201,2,0.000048,98.9328,96.2411
5,8A,361,5,0.000048,99.6741,98.8520
5,ETAIIM,441,4,0.000020,97.7911,92.2254
5,ZHU,241,5,0.000498,98.2362,93.7470
5,ZHU,201,4,0.000498,98.2677,93.8867
5,8A,241,5,0.000048,99.1411,96.9745
5,ZHU,401,2,0.000498,98.0689,93.0545
5,ZHU,161,2,0.000498,98.2868,93.9596
5,ETAIIM,121,2,0.000020,97.5477,91.3680
5,ZHU,241,6,0.000498,98.2424,93.7632
5,ETAIIM,401,2,0.000020,97.7843,92.2012
5,ZHU,441,1,0.000498,98.0352,92.9070
5,ETAIIM,441,1,0.000020,97.7911,92.2254
5,4B,401,6,0.000204,99.4969,98.2280
5,6B,41,4,0.000021,98.2826,93.9680
5,8A,41,4,0.000048,98.1615,93.5299
5,8A,41,5,0.000048,98.1633,93.5306
5,ZHU,441,4,0.000498,98.0352,92.9070
5,ZHU,161,6,0.000498,98.2870,93.9603
5,ZHU,161,5,0.000498,98.2827,93.9396
5,ZHU,281,2,0.000498,98.1938,93.5404
5,ZHU,361,3,0.000498,98.1097,93.2269
5,8A,41,1,0.000048,98.1687,93.5497
5,ZHU,321,5,0.000498,98.1455,93.3702
5,4B,281,2,0.000204,98.9287,96.2264
5,ZHU4,81,4,0.000559,98.2585,93.8831
5,ZHU,121,4,0.000498,98.3077,94.0450
5,ETAIIM,321,2,0.000020,97.7477,92.0667
5,4B,41,4,0.000204,97.8163,92.3083
5,8A,1,5,0.000048,97.9319,92.7210
5,ZHU,201,3,0.000498,98.2714,93.8826
5,4B,41,6,0.000204,97.7948,92.2325
5,ZHU4,201,4,0.000559,98.2317,93.7771
5,ETAIIM,201,1,0.000020,97.7014,91.9092
5,ZHU,1,6,0.000498,98.3452,94.1768
5,4B,201,2,0.000204,98.6086,95.0990
5,ZHU,1,2,0.000498,98.3458,94.1792
5,ETAIIM,361,1,0.000020,97.7778,92.1725
5,ZHU,81,3,0.000498,98.3220,94.0951
5,4B,161,2,0.000204,98.4210,94.4383
5,ZHU,321,4,0.000498,98.1449,93.3681
5,ZHU,41,1,0.000498,98.3338,94.1370
5,8A,401,5,0.000048,99.8601,99.5074
5,ETAIIM,161,1,0.000020,97.6282,91.6515
5,4B,361,2,0.000204,99.2883,97.4933
5,ZHU,241,4,0.000498,98.2368,93.7436
5,ZHU,41,2,0.000498,98.3348,94.1404
